"sea anemone, anemone",0.32,anthozoan,anthozoan,anthozoan,anthozoan,anthozoan,coelenterate,invertebrate,animal,organism,living_thing
brain coral,0.38,stony_coral,stony_coral,stony_coral,coral,anthozoan,coelenterate,invertebrate,animal,organism,living_thing
"flatworm, platyhelminth",0.3,worm,worm,worm,worm,worm,worm,invertebrate,animal,organism,living_thing
"nematode, nematode worm, roundworm",0.1,worm,worm,worm,worm,worm,worm,invertebrate,animal,organism,living_thing
conch,0.82,gastropod,gastropod,gastropod,gastropod,gastropod,mollusk,invertebrate,animal,organism,living_thing
snail,0.28,gastropod,gastropod,gastropod,gastropod,gastropod,mollusk,invertebrate,animal,organism,living_thing
slug,0.24,gastropod,gastropod,gastropod,gastropod,gastropod,mollusk,invertebrate,animal,organism,living_thing
"sea slug, nudibranch",1.1,gastropod,gastropod,gastropod,gastropod,gastropod,mollusk,invertebrate,animal,organism,living_thing
"chiton, coat-of-mail shell, sea cradle, polyplacophore",0.58,mollusk,mollusk,mollusk,mollusk,mollusk,mollusk,invertebrate,animal,organism,living_thing
"chambered nautilus, pearly nautilus, nautilus",0.14,cephalopod,cephalopod,cephalopod,cephalopod,cephalopod,mollusk,invertebrate,animal,organism,living_thing
"Dungeness crab, Cancer magister",0.38,crab,crab,crab,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
"rock crab, Cancer irroratus",0.46,crab,crab,crab,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
fiddler crab,0.08,crab,crab,crab,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",0.24,crab,crab,crab,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.24,true_lobster,true_lobster,lobster,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.02,lobster,lobster,lobster,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
"crayfish, crawfish, crawdad, crawdaddy",1.14,decapod_crustacean,decapod_crustacean,decapod_crustacean,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
hermit crab,1.16,decapod_crustacean,decapod_crustacean,decapod_crustacean,decapod_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
isopod,0.84,malacostracan_crustacean,malacostracan_crustacean,malacostracan_crustacean,malacostracan_crustacean,crustacean,arthropod,invertebrate,animal,organism,living_thing
"white stork, Ciconia ciconia",0.18,stork,stork,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"black stork, Ciconia nigra",0.36,stork,stork,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
spoonbill,0.48,wading_bird,wading_bird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
flamingo,0.1,wading_bird,wading_bird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"little blue heron, Egretta caerulea",0.36,heron,heron,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"American egret, great white heron, Egretta albus",0.14,egret,heron,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
bittern,0.16,heron,heron,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
crane,0.2,wading_bird,wading_bird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"limpkin, Aramus pictus",0.52,wading_bird,wading_bird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"European gallinule, Porphyrio porphyrio",0.76,purple_gallinule,purple_gallinule,gallinule,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"American coot, marsh hen, mud hen, water hen, Fulica americana",0.2,coot,rail,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
bustard,0.32,wading_bird,wading_bird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"ruddy turnstone, Arenaria interpres",0.78,plover,shorebird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"red-backed sandpiper, dunlin, Erolia alpina",0.36,sandpiper,shorebird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"redshank, Tringa totanus",0,sandpiper,shorebird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
dowitcher,0.28,snipe,shorebird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"oystercatcher, oyster catcher",1.04,shorebird,shorebird,wading_bird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
pelican,0.06,pelecaniform_seabird,pelecaniform_seabird,seabird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"king penguin, Aptenodytes patagonica",0.38,penguin,sphenisciform_seabird,seabird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"albatross, mollymawk",0,pelagic_bird,pelagic_bird,seabird,aquatic_bird,bird,vertebrate,chordate,animal,organism,living_thing
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.62,whale,cetacean,aquatic_mammal,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",0.74,whale,cetacean,aquatic_mammal,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"dugong, Dugong dugon",0.52,sea_cow,sea_cow,aquatic_mammal,placental,mammal,vertebrate,chordate,animal,organism,living_thing
sea lion,0.26,seal,pinniped_mammal,aquatic_mammal,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Chihuahua,0.4,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Japanese spaniel,0.16,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Maltese dog, Maltese terrier, Maltese",1.18,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Pekinese, Pekingese, Peke",0.24,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Shih-Tzu,0.86,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Blenheim spaniel,0.52,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
papillon,0.78,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
toy terrier,1.16,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Rhodesian ridgeback,0.42,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Afghan hound, Afghan",0.28,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"basset, basset hound",0.46,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
beagle,1.08,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"bloodhound, sleuthhound",0.88,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
bluetick,0.14,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
black-and-tan coonhound,0.34,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Walker hound, Walker foxhound",1.2,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
English foxhound,0.26,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
redbone,0.64,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"borzoi, Russian wolfhound",0.84,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Irish wolfhound,1.48,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Italian greyhound,0.72,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
whippet,0.2,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Ibizan hound, Ibizan Podenco",0.74,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Norwegian elkhound, elkhound",0.14,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"otterhound, otter hound",0.56,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Saluki, gazelle hound",0.14,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Scottish deerhound, deerhound",0.28,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Weimaraner,0.18,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Staffordshire bullterrier, Staffordshire bull terrier",0.42,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.36,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Bedlington terrier,0.2,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Border terrier,1.08,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Kerry blue terrier,0.12,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Irish terrier,0.28,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Norfolk terrier,0.8,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Norwich terrier,0.26,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Yorkshire terrier,0.54,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
wire-haired fox terrier,0.44,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Lakeland terrier,0.2,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Sealyham terrier, Sealyham",0.36,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Airedale, Airedale terrier",0.72,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"cairn, cairn terrier",1,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Australian terrier,0.12,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Dandie Dinmont, Dandie Dinmont terrier",1.22,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Boston bull, Boston terrier",0.24,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
miniature schnauzer,0.26,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
giant schnauzer,0.58,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
standard schnauzer,0.36,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Scotch terrier, Scottish terrier, Scottie",1.54,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Tibetan terrier, chrysanthemum dog",0.62,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"silky terrier, Sydney silky",0.42,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
soft-coated wheaten terrier,0.82,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
West Highland white terrier,0.26,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Lhasa, Lhasa apso",0.36,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
flat-coated retriever,0.24,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
curly-coated retriever,0.14,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
golden retriever,0.22,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Labrador retriever,0.6,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Chesapeake Bay retriever,0.2,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
German short-haired pointer,0.3,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"vizsla, Hungarian pointer",0.52,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
English setter,0.6,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Irish setter, red setter",0.24,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Gordon setter,0.2,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Brittany spaniel,1.24,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"clumber, clumber spaniel",0.94,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"English springer, English springer spaniel",0.12,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Welsh springer spaniel,0.28,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"cocker spaniel, English cocker spaniel, cocker",0.72,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Sussex spaniel,0.28,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
Irish water spaniel,0.32,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
kuvasz,0.14,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
schipperke,0.46,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
groenendael,0.74,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
malinois,0.66,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
briard,0.76,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
kelpie,0.9,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
komondor,0.84,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
"Old English sheepdog, bobtail",0.68,dog,canine,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing
