ID,Antenna,RSSI,LQ,SNR,PWR,FHSS,PFD,NU
41054,0,-81,96,11,0,42,-1,1
41055,0,-81,96,9,0,42,4,1
41056,0,-81,96,11,0,7,3,1
41057,0,-81,96,11,0,7,4,1
41058,0,-81,96,10,0,7,3,1
41059,0,-80,96,11,0,7,5,1
41060,0,-80,96,9,0,31,20,1
41061,0,-80,96,12,0,31,4,1
41062,0,-79,96,10,0,31,2,1
41063,0,-79,96,11,0,31,1,1
41064,0,-78,96,10,0,63,0,1
41065,0,-78,96,10,0,63,-1,1
41066,0,-78,96,11,0,63,-1,1
41067,0,-78,96,11,0,63,-1,1
41068,0,-80,96,11,0,69,0,1
41069,0,-79,96,10,0,69,-4,1
41070,0,-79,96,11,0,69,-2,1
41071,0,-79,96,10,0,69,0,1
41072,0,-77,96,11,0,33,18,1
41073,0,-76,96,11,0,33,0,1
41074,0,-76,96,12,0,33,1,1
41075,0,-76,96,10,0,33,2,1
41076,0,-77,96,11,0,51,1,1
41077,0,-76,96,10,0,51,-3,1
41078,0,-76,96,11,0,51,2,1
41079,0,-76,96,11,0,51,2,1
41080,0,-81,96,11,0,17,-1,1
41081,0,-82,96,11,0,17,1,1
41082,0,-82,96,11,0,17,-1,1
41083,0,-83,96,11,0,17,1,1
41084,0,-76,96,11,0,55,1,1
41085,0,-76,96,10,0,55,18,1
41086,0,-76,96,11,0,55,2,1
41087,0,-76,96,11,0,55,1,1
41088,0,-80,96,11,0,32,-2,1
41089,0,-81,96,10,0,32,-1,1
41090,0,-82,96,11,0,32,-2,1
41091,0,-83,96,10,0,32,-1,1
41092,0,-84,96,10,0,4,-3,1
41093,0,-83,96,11,0,4,-2,1
41094,0,-83,96,11,0,4,-1,1
41095,0,-83,96,11,0,4,-1,1
41096,0,-93,96,9,0,25,1,1
41097,0,-93,96,9,0,25,16,1
41098,0,-93,96,8,0,25,3,1
41099,0,-91,96,9,0,25,1,1
41100,0,-77,96,12,0,78,3,1
41101,0,-77,96,11,0,78,1,1
41102,0,-77,96,11,0,78,3,1
41103,0,-77,96,11,0,78,1,1
41104,0,-85,96,10,0,27,1,1
41105,0,-84,96,11,0,27,3,1
41106,0,-84,96,11,0,27,-1,1
41107,0,-83,96,11,0,27,2,1
